Id,name,gender,attribute,modularity_class,X,Y,Size,Color
129,M. M. Hamel,w,person,79,1039.641113,-244.54425,30,"#73c000"
130,G. G. Sangpo,m,person,32,-158.819061,-537.24823,30,"#c0c0c0"
131,U. Rathgeb,w,person,33,-171.733887,62.205124,30,"#c0c0c0"
132,A. Wydler,w,person,6,1950.945435,-619.812134,30,"#ff8805"
133,S. Frenk,m,person,11,-357.48999,-1524.711914,30,"#00c4ff"
134,N. Frenk,w,person,11,-447.419678,-1484.118896,30,"#00c4ff"
135,S. Lifson,m,person,34,-324.711395,240.956665,30,"#c0c0c0"
136,L. Gyatso,m,person,35,-149.575104,-783.483643,30,"#c0c0c0"
137,R. Pierantoni,m,person,36,-434.065796,-423.366028,30,"#c0c0c0"
138,Hsiao,m,person,37,-301.276062,-367.29071,30,"#c0c0c0"
139,K. Bättig,m,person,79,840.988464,-81.681389,30,"#73c000"
140,P. Sitte,m,person,38,-163.116821,-119.258141,30,"#c0c0c0"
141,P. Schudel,m,person,74,76.394897,-212.748413,30,"#00bd94"
142,P. Watzlawick,m,person,6,1856.873047,-456.922455,30,"#ff8805"
143,H. Herzka,m,person,58,277.17691,456.713745,30,"#4c463e"
144,Al Huang,m,person,4,1150.287842,-1537.019897,30,"#df89ff"
145,A. Greco,m,person,75,2124.428955,236.110626,30,"#c0c0c0"
146,J. Nollman,m,person,39,-164.306946,-234.776123,30,"#c0c0c0"
147,H. Maturana,m,person,11,-286.109711,-1599.497803,30,"#00c4ff"
148,H. Lifson,w,person,40,-442.274353,-182.574646,30,"#c0c0c0"
149,Y. Ikeda,m,person,41,-182.313599,302.347107,30,"#c0c0c0"
150,P. W. Müller,m,person,73,231.462891,-407.964081,30,"#ff5584"
151,M. J. Denton,m,person,76,1787.782104,448.828674,30,"#c0c0c0"
152,E. Stern,w,person,42,-296.806824,-547.214111,30,"#c0c0c0"
153,T. Ginsburg,m,person,58,60.901764,195.773926,30,"#4c463e"
154,D. Hornung,w,person,43,-163.683258,-353.558533,30,"#c0c0c0"
155,S. Buholzer,w,person,58,406.960785,505.388428,30,"#4c463e"
156,M. C. E. Huber,m,person,73,99.106651,37.164124,30,"#ff5584"
157,H. C. Binswanger,m,person,58,218.427124,140.472748,30,"#4c463e"
158,P. Walde,m,person,11,638.993408,-589.88562,30,"#00c4ff"
159,C. Corti,w,person,73,1639.453979,117.222595,30,"#ff5584"
160,A. Carrega,m,person,44,-292.468323,-783.453796,30,"#c0c0c0"
161,K. Walter,w,person,6,1856.960083,-580.696472,30,"#ff8805"
162,H. Boedecker,w,person,45,-456.893036,304.521484,30,"#c0c0c0"
163,M. Joly,m,person,46,-427.675476,-603.1521,30,"#c0c0c0"
164,G. Verden-Zoeller,w,person,11,-362.941864,-1398.308105,30,"#00c4ff"
165,C. Thurn,w,person,73,1522.350464,164.744049,30,"#ff5584"
166,P. Howard,m,person,47,-160.164032,-599.354736,30,"#c0c0c0"
167,J. Davis,w,person,58,62.439896,98.265579,30,"#4c463e"
168,W. Petter,m,person,48,-332.71933,485.68811,30,"#c0c0c0"
169,M. Heide,w,person,11,855.72876,-519.038818,30,"#00c4ff"
170,B. Lüthi,w,person,11,643.015381,-520.86676,30,"#00c4ff"
171,M. Nakajima,m,person,49,-178.646866,182.248856,30,"#c0c0c0"
172,A. Adams,m,person,50,-290.077393,-728.129333,30,"#c0c0c0"
173,P. Bachmann,m,person,51,-164.726486,-60.225449,30,"#c0c0c0"
174,E. Schreier,w,person,52,-450.280853,121.542206,30,"#c0c0c0"
175,K. Robert,m,person,53,-162.695648,-414.020844,30,"#c0c0c0"
176,T. Abt,m,person,79,1537.164673,-599.535034,30,"#73c000"
177,P. Carter,m,person,54,-442.480469,-242.864914,30,"#c0c0c0"
178,R. Baker-roshi,m,person,4,1246.13501,-1694.312378,30,"#df89ff"
179,B. Tappeser,w,person,55,-435.850159,-362.664703,30,"#c0c0c0"
180,C. Thürmer-Rohr,w,person,79,409.81488,85.109947,30,"#73c000"
181,H. Dürr,m,person,4,1712.505249,-876.450134,30,"#df89ff"
182,C. Saron,m,person,11,-79.06337,-1331.313721,30,"#00c4ff"
183,P. G. Bartalotta,m,person,56,-427.473083,-786.261658,30,"#c0c0c0"
184,D. Steiner,m,person,79,947.857239,-207.376129,30,"#73c000"
185,S. Ouwehand,w,person,73,1410.421021,125.541351,30,"#ff5584"
186,P. Tosi,w,person,77,2197.63501,-55.197159,30,"#c0c0c0"
187,V. De Rubeis,m,person,77,2098.047852,-17.086136,30,"#c0c0c0"
188,G. Thurn,m,person,73,1528.350952,235.357819,30,"#ff5584"
189,R. Förster,m,person,73,300.868225,-535.384766,30,"#ff5584"
190,M. Burchska,w,person,74,89.92569,-285.254578,30,"#00bd94"
191,C. Walsoe,m,person,73,300.760895,-468.675659,30,"#ff5584"
192,H. P. Bernhard,m,person,73,119.200851,-443.521759,30,"#ff5584"
193,H. Johansen,w,person,58,822.306274,354.991577,30,"#4c463e"
194,J. Vazquez,m,person,57,-180.956512,426.254486,30,"#c0c0c0"
276,H. Atmanspacher,m,person,79,1281.951172,-123.028458,30,"#73c000"
289,A. Muschg,m,person,58,863.413635,296.371277,30,"#4c463e"
296,S. Bellucci,m,person,59,-180.062531,242.227844,30,"#c0c0c0"
297,R. Boesch,m,person,75,2092.26001,109.620453,30,"#c0c0c0"
298,B. D. Carbona,m,person,73,157.759918,-164.005798,30,"#ff5584"
299,G. Fleischaker,w,person,11,324.911255,-1345.62207,30,"#00c4ff"
300,B. Gülec,w,person,73,185.603149,-579.775574,30,"#ff5584"
301,E. Kessler,m,person,4,691.580688,-784.62207,30,"#df89ff"
302,H. Kessler,w,person,4,724.071777,-727.494202,30,"#df89ff"
303,A. Kistler,m,person,74,247.151581,-206.410797,30,"#00bd94"
304,I. Kummer,w,person,58,571.289124,359.614929,30,"#4c463e"
305,M. Maestro,m,person,11,760.171143,-455.991089,30,"#00c4ff"
306,T. McKenna,m,person,4,2000.19165,-1360.469604,30,"#df89ff"
307,J. Nüesch,m,person,79,594.24292,-245.459457,30,"#73c000"
308,J. A. Ogilvy,m,person,4,1536.543213,-1396.84436,30,"#df89ff"
309,H. Remmler,m,person,6,2031.540894,-431.216248,30,"#ff8805"
310,D. Sölle,w,person,79,1081.583496,-779.9505,30,"#73c000"
311,M. Spühler,m,person,60,220.090973,-731.664429,30,"#c0c0c0"
312,K. Stumpf,w,person,58,269.893036,386.447815,30,"#4c463e"
313,K. Von Berlepsch,m,person,74,228.510941,-317.196045,30,"#00bd94"
