source,target,event_id
20070,15022,3
20070,15096,3
20071,15001,3
20071,15057,3
20071,15009,3
20071,15097,3
20072,15043,3
20072,15014,3
20072,15097,3
20072,15034,3
20072,15098,3
20107,15099,3
20107,15065,3
20107,15034,3
20107,15020,3
20107,15042,3
20073,15057,3
20075,15041,3
20075,15097,3
20075,15013,3
20076,15052,3
20076,15051,3
20077,15057,3
20077,15028,3
20077,15065,3
20077,15050,3
20078,15001,3
20078,15002,3
20078,15009,3
20078,15014,3
20078,15043,3
20078,15097,3
20078,15012,3
20078,15028,3
20079,15071,3
20079,15041,3
20079,15028,3
20079,15024,3
20080,15024,3
20080,15031,3
20080,15028,3
20080,15063,3
20080,15012,3
20081,15034,3
20081,15060,3
20081,15028,3
20082,15075,3
20082,15060,3
20082,15034,3
20082,15124,3
20083,15100,3
20083,15024,3
20083,15028,3
20083,15043,3
20084,15002,3
20084,15014,3
20084,15015,3
20084,15022,3
20084,15097,3
20084,15043,3
20084,15028,3
20084,15079,3
20085,15010,3
20085,15057,3
20085,15050,3
20085,15017,3
20085,15020,3
20085,15055,3
20086,15001,3
20086,15102,3
20020,15102,1
20087,15057,3
20087,15025,3
20087,15018,3
20087,15041,3
20087,15019,3
20087,15070,3
20088,15024,3
20088,15038,3
20088,15083,3
20088,15103,3
20088,15069,3
20088,15014,3
20088,15013,3
20089,15041,3
20089,15013,3
20089,15015,3
20089,15022,3
20089,15043,3
20089,15097,3
20089,15035,3
20089,15016,3
20090,15036,3
20090,15013,3
20090,15015,3
20090,15097,3
20090,15043,3
20090,15063,3
20091,15104,3
20091,15013,3
20091,15002,3
20091,15097,3
20091,15012,3
20091,15036,3
20092,15015,3
20092,15022,3
20092,15057,3
20092,15013,3
20092,15105,3
20092,15063,3
20092,15011,3
20093,15013,3
20093,15015,3
20093,15023,3
20093,15097,3
20093,15057,3
20108,15052,4
20108,15079,4
20108,15106,4
20108,15107,4
20108,15022,4
20108,15017,4
20108,15020,4
20109,15108,4
20109,15043,4
20110,15083,4
20110,15046,4
20110,15069,4
20110,15022,4
20110,15023,4
20110,15109,4
20110,15028,4
20111,15034,4
20111,15012,4
20112,15017,4
20112,15020,4
20112,15041,4
20112,15018,4
20112,15104,4
20112,15081,4
20112,15110,4
20113,15013,4
20113,15028,4
20113,15043,4
20113,15097,4
20114,15023,4
20114,15020,4
20114,15017,4
20114,15111,4
20114,15112,4
20115,15031,4
20115,15093,4
20115,15017,4
20115,15078,4
20115,15100,4
20115,15063,4
20115,15028,4
20115,15020,4
20116,15105,4
20116,15107,4
20116,15045,4
20116,15050,4
20117,15012,4
20117,15011,4
20117,15014,4
20117,15022,4
20117,15057,4
20117,15009,4
20117,15097,4
20118,15031,4
20118,15012,4
20118,15063,4
20118,15100,4
20119,15083,4
20119,15022,4
20119,15062,4
20119,15025,4
20119,15012,4
20119,15067,4
20120,15002,4
20120,15043,4
20120,15097,4
20120,15073,4
20121,15021,4
20121,15017,4
20121,15043,4
20121,15094,4
20121,15096,4
20122,15020,4
20122,15028,4
20122,15067,4
20123,15023,4
20123,15084,4
20124,15059,4
20124,15060,4
20125,15020,4
20125,15063,4
20125,15014,4
20125,15021,4
20125,15022,4
20125,15028,4
20126,15034,4
20127,15028,4
20127,15064,4
20128,15077,4
20128,15078,4
20128,15028,4
20128,15057,4
20128,15023,4
20129,15017,4
20129,15020,4
20129,15085,4
20129,15022,4
20129,15028,4
20130,15014,4
20130,15043,4
20130,15097,4
20130,15013,4
20130,15015,4
20131,15013,4
20131,15097,4
20131,15014,4
20131,15043,4
20131,15015,4
20132,15085,4
20132,15070,4
20132,15017,4
20133,15034,4
20133,15079,4
20133,15028,4
20134,15013,4
