Id,Label,name,attribute,event_id,meta_category,[z],Degree,modularity_class,shared_cluster,X,Y,Z,Size,Color
20077,,Aktive Sinnerswahrnehmung,workshop,3,0,1,4,4,4,407.047028,602.831177,0.005748,50,"#ff8805"
20078,,Hypnosetherapie,workshop,3,0,1,8,7,7,379.605103,-367.705719,0.009145,50,"#00c4ff"
20079,,Bauform als Zeichen und Symbol,workshop,3,0,1,4,4,4,307.354584,439.093384,0.000224,50,"#ff8805"
20080,,Stein-Holz-Eisen,workshop,3,0,1,5,7,7,-413.41507,-439.017609,0.003006,50,"#00c4ff"
20081,,Musikimprovisation,workshop,3,0,1,3,6,6,496.498444,-968.737793,0.000117,50,"#4c463e"
20082,,Der komponierende und improvisierende Computer,workshop,3,0,1,4,6,6,-67.450623,-938.380249,0.008814,50,"#4c463e"
20083,,Die Schöpfung als menschlicher Ort,workshop,3,0,1,4,7,7,150.98526,-345.640869,0.001684,50,"#00c4ff"
20084,,Wahrnehmung des Selbst in der Alchemie,workshop,3,0,1,8,3,3,238.353165,-99.277306,0.001219,50,"#73c000"
20085,,"Wahrnehmung im Alltag - Liebe, Beruf, Erziehung",workshop,3,0,1,6,5,5,-122.842094,405.770142,0.002774,50,"#df89ff"
20086,,"Gebrauch,Gefahren und Erfahrungen mit psychedelischen Drogen",workshop,3,0,1,2,4,4,1176.434082,-212.821655,0.00554,50,"#ff8805"
20087,,Wahrnehmung in der Tibetischen Tradition,workshop,3,0,1,6,8,8,244.561081,540.846985,0.004976,50,"#ff5584"
20088,,Weiterbildung in Körpertherapie,workshop,3,0,1,7,0,0,37.230003,-46.703468,0.000844,50,"#d3b3b0"
20089,,Ki-kraft,workshop,3,0,1,8,3,3,380.088501,206.874588,0.008973,50,"#73c000"
20090,,Bioenergetics,workshop,3,0,1,6,3,3,425.316803,-203.739059,0.001576,50,"#73c000"
20091,,"Bioenergetics, Arbeit mit Träumen",workshop,3,0,1,6,3,3,551.394348,-348.44162,0.00885,50,"#73c000"
20092,,Focusing,workshop,3,0,1,7,5,5,235.329193,162.405945,0.001217,50,"#df89ff"
