source,target,attribute
311,3078,pursuit_occupation
312,3107,pursuit_occupation
7,3092,pursuit_occupation
320,3078,pursuit_occupation
321,3088,pursuit_occupation
322,3073,pursuit_occupation
322,3073,pursuit_occupation
323,3085,pursuit_occupation
324,3079,pursuit_occupation
324,3073,pursuit_occupation
324,3073,pursuit_occupation
326,3073,pursuit_occupation
326,3074,pursuit_occupation
326,3084,pursuit_occupation
325,3104,pursuit_occupation
325,3084,pursuit_occupation
325,3074,pursuit_occupation
325,3083,pursuit_occupation
327,3073,pursuit_occupation
328,3091,pursuit_occupation
329,3072,pursuit_occupation
330,3079,pursuit_occupation
330,3073,pursuit_occupation
331,3078,pursuit_occupation
331,3101,pursuit_occupation
331,3084,pursuit_occupation
27,3087,pursuit_occupation
332,3079,pursuit_occupation
332,3073,pursuit_occupation
332,3109,pursuit_occupation
332,3101,pursuit_occupation
333,3081,pursuit_occupation
333,3086,pursuit_occupation
315,3105,pursuit_occupation
337,3101,pursuit_occupation
337,3079,pursuit_occupation
337,3110,pursuit_occupation
337,3110,pursuit_occupation
334,3083,pursuit_occupation
334,3088,pursuit_occupation
3,3088,pursuit_occupation
276,3079,pursuit_occupation
276,3084,pursuit_occupation
276,3079,pursuit_occupation
5,3079,pursuit_occupation
5,3073,pursuit_occupation
5,3073,pursuit_occupation
354,3084,pursuit_occupation
354,3079,pursuit_occupation
354,3084,pursuit_occupation
354,3084,pursuit_occupation
79,2012,study_organization
33,2016,study_organization
80,2017,study_organization
81,2056,study_organization
82,2007,study_organization
83,2023,study_organization
76,2024,study_organization
84,2005,study_organization
84,2001,study_organization
85,2008,study_organization
34,2008,study_organization
34,2025,study_organization
87,2028,study_organization
78,2031,study_organization
91,2007,study_organization
98,2031,study_organization
109,2007,study_organization
101,2042,study_organization
94,2061,study_organization
103,2001,study_organization
1,2003,study_organization
105,2001,study_organization
111,2001,study_organization
111,2001,study_organization
95,2001,study_organization
118,2017,study_organization
119,2001,study_organization
122,2064,study_organization
132,2001,study_organization
132,2068,study_organization
142,2071,study_organization
142,2068,study_organization
143,2007,study_organization
126,2001,study_organization
118,2068,study_organization
19,2004,study_organization
157,2007,study_organization
155,2007,study_organization
88,2081,study_organization
151,2085,study_organization
151,2086,study_organization
156,2017,study_organization
135,2090,study_organization
147,2031,study_organization
27,2092,study_organization
27,2093,study_organization
164,2095,study_organization
161,2097,study_organization
161,2068,study_organization
178,2016,study_organization
181,2016,study_organization
188,2001,study_organization
185,2109,study_organization
179,2111,study_organization
186,2114,study_organization
187,2114,study_organization
96,2001,study_organization
176,2001,study_organization
176,2068,study_organization
189,2001,study_organization
191,2001,study_organization
191,2117,study_organization
180,2118,study_organization
193,2121,study_organization
184,2007,study_organization
182,2122,study_organization
192,2017,study_organization
175,2123,study_organization
150,2001,study_organization
72,2008,study_organization
128,2001,study_organization
299,2130,study_organization
300,2131,study_organization
303,2061,study_organization
298,2017,study_organization
301,2001,study_organization
51,2027,study_organization
304,2007,study_organization
304,2136,study_organization
305,2137,study_organization
22,2007,study_organization
306,2016,study_organization
318,2143,study_organization
307,2001,study_organization
308,2146,study_organization
310,2005,study_organization
312,2007,study_organization
321,2068,study_organization
321,2152,study_organization
322,2001,study_organization
324,2007,study_organization
326,2118,study_organization
325,2007,study_organization
327,2160,study_organization
330,2001,study_organization
332,2164,study_organization
337,2016,study_organization
3,2004,study_organization
276,2169,study_organization
5,2172,study_organization
354,2143,study_organization
79,4001,subject
33,4002,subject
80,4002,subject
80,4003,subject
81,4004,subject
82,4005,subject
83,4006,subject
76,4007,subject
76,4008,subject
84,4007,subject
84,4005,subject
85,4007,subject
85,4009,subject
34,4011,subject
34,4003,subject
34,4010,subject
77,4008,subject
87,4012,subject
78,4013,subject
91,4011,subject
19,4011,subject
98,4014,subject
25,4002,subject
25,4015,subject
25,4016,subject
109,4017,subject
109,4008,subject
101,4003,subject
101,4018,subject
94,4017,subject
94,4019,subject
103,4005,subject
1,4001,subject
105,4020,subject
111,4020,subject
111,4020,subject
95,4020,subject
118,4012,subject
119,4005,subject
132,4013,subject
132,4008,subject
132,4010,subject
141,4005,subject
142,4021,subject
142,4008,subject
142,4018,subject
143,4007,subject
118,4008,subject
19,4011,subject
19,4008,subject
19,4008,subject
157,4023,subject
155,4021,subject
88,4024,subject
159,4008,subject
165,4025,subject
165,4008,subject
151,4007,subject
151,4026,subject
153,4002,subject
156,4027,subject
135,4005,subject
147,4013,subject
27,4007,subject
27,4008,subject
164,4011,subject
161,4028,subject
161,4008,subject
167,4005,subject
178,4029,subject
178,4010,subject
181,4002,subject
188,4020,subject
188,4016,subject
185,4030,subject
185,4008,subject
185,4015,subject
179,4013,subject
186,4031,subject
187,4031,subject
96,4005,subject
96,4008,subject
18,4008,subject
18,4010,subject
190,4032,subject
176,4022,subject
176,4008,subject
189,4026,subject
191,4005,subject
191,4033,subject
180,4011,subject
193,4017,subject
193,4034,subject
184,4035,subject
182,4013,subject
192,4013,subject
175,4013,subject
177,4008,subject
177,4008,subject
150,4013,subject
72,4002,subject
128,4020,subject
299,4021,subject
300,4005,subject
313,4007,subject
303,4013,subject
303,4008,subject
298,4013,subject
301,4036,subject
51,4010,subject
304,4017,subject
304,4008,subject
18,4010,subject
305,4005,subject
22,4011,subject
22,4010,subject
13,4010,subject
306,4037,subject
318,4038,subject
24,4008,subject
24,4019,subject
307,4013,subject
308,4021,subject
309,4007,subject
309,4008,subject
310,4003,subject
312,4033,subject
7,4010,subject
7,4010,subject
7,4039,subject
321,4008,subject
321,4008,subject
322,4002,subject
324,4040,subject
326,4002,subject
325,4012,subject
325,4008,subject
327,4013,subject
330,4002,subject
330,4008,subject
332,4002,subject
315,4010,subject
337,4002,subject
337,4010,subject
334,4013,subject
334,4034,subject
334,4034,subject
3,4008,subject
276,4002,subject
5,4021,subject
354,4001,subject
