Source,Target,Type,Id,Label,Weight,attribute,MMNT-EdgeType,Color
25,191,Undirected,1949,person-person,1,,person<--->person,"#000000"
25,150,Undirected,1947,person-person,1,,person<--->person,"#000000"
78,105,Undirected,2076,person-person,1,,person<--->person,"#000000"
47,333,Undirected,2034,person-person,1,,person<--->person,"#000000"
22,330,Undirected,1946,person-person,1,,person<--->person,"#000000"
22,325,Undirected,1945,person-person,1,,person<--->person,"#000000"
22,289,Undirected,1941,person-person,1,,person<--->person,"#000000"
25,307,Undirected,1952,person-person,1,,person<--->person,"#000000"
22,185,Undirected,1940,person-person,1,,person<--->person,"#000000"
22,184,Undirected,1939,person-person,1,,person<--->person,"#000000"
22,155,Undirected,1937,person-person,1,,person<--->person,"#000000"
74,87,Undirected,2041,person-person,2,,person<--->person,"#000000"
22,97,Undirected,1933,person-person,1,,person<--->person,"#000000"
80,289,Undirected,2130,person-person,2,,person<--->person,"#000000"
33,44,Undirected,1975,person-person,2,,person<--->person,"#000000"
22,82,Undirected,1931,person-person,1,,person<--->person,"#000000"
19,58,Undirected,1929,person-person,1,,person<--->person,"#000000"
16,360,Undirected,1928,person-person,2,,person<--->person,"#000000"
16,356,Undirected,1927,person-person,1,,person<--->person,"#000000"
27,30,Undirected,1953,person-person,2,,person<--->person,"#000000"
16,355,Undirected,1926,person-person,1,,person<--->person,"#000000"
47,178,Undirected,2029,person-person,1,,person<--->person,"#000000"
76,306,Undirected,2053,person-person,1,,person<--->person,"#000000"
16,337,Undirected,1925,person-person,1,,person<--->person,"#000000"
16,330,Undirected,1924,person-person,1,,person<--->person,"#000000"
16,326,Undirected,1923,person-person,2,,person<--->person,"#000000"
16,325,Undirected,1922,person-person,1,,person<--->person,"#000000"
16,322,Undirected,1921,person-person,1,,person<--->person,"#000000"
16,191,Undirected,1916,person-person,1,,person<--->person,"#000000"
16,289,Undirected,1917,person-person,1,,person<--->person,"#000000"
16,301,Undirected,1918,person-person,1,,person<--->person,"#000000"
80,96,Undirected,2110,person-person,4,,person<--->person,"#000000"
16,188,Undirected,1914,person-person,1,,person<--->person,"#000000"
16,176,Undirected,1912,person-person,1,,person<--->person,"#000000"
16,150,Undirected,1911,person-person,1,,person<--->person,"#000000"
16,126,Undirected,1907,person-person,1,,person<--->person,"#000000"
16,128,Undirected,1908,person-person,1,,person<--->person,"#000000"
82,91,Undirected,2146,person-person,1,,person<--->person,"#000000"
33,47,Undirected,1976,person-person,1,,person<--->person,"#000000"
30,118,Undirected,1966,person-person,2,,person<--->person,"#000000"
77,118,Undirected,2057,person-person,1,,person<--->person,"#000000"
34,78,Undirected,1994,person-person,1,,person<--->person,"#000000"
78,304,Undirected,2095,person-person,1,,person<--->person,"#000000"
16,122,Undirected,1906,person-person,1,,person<--->person,"#000000"
78,306,Undirected,2096,person-person,1,,person<--->person,"#000000"
16,103,Undirected,1902,person-person,1,,person<--->person,"#000000"
16,97,Undirected,1901,person-person,1,,person<--->person,"#000000"
82,97,Undirected,2147,person-person,1,,person<--->person,"#000000"
72,355,Undirected,2037,person-person,1,,person<--->person,"#000000"
78,111,Undirected,2077,person-person,2,,person<--->person,"#000000"
78,307,Undirected,2097,person-person,2,,person<--->person,"#000000"
78,322,Undirected,2098,person-person,1,,person<--->person,"#000000"
16,80,Undirected,1896,person-person,2,,person<--->person,"#000000"
16,84,Undirected,1897,person-person,2,,person<--->person,"#000000"
78,325,Undirected,2099,person-person,1,,person<--->person,"#000000"
6,351,Undirected,1894,person-person,1,,person<--->person,"#000000"
16,78,Undirected,1895,person-person,1,,person<--->person,"#000000"
27,161,Undirected,1959,person-person,1,,person<--->person,"#000000"
6,308,Undirected,1893,person-person,1,,person<--->person,"#000000"
6,306,Undirected,1892,person-person,1,,person<--->person,"#000000"
6,178,Undirected,1890,person-person,1,,person<--->person,"#000000"
6,98,Undirected,1888,person-person,1,,person<--->person,"#000000"
78,82,Undirected,2067,person-person,1,,person<--->person,"#000000"
78,326,Undirected,2100,person-person,2,,person<--->person,"#000000"
30,132,Undirected,1967,person-person,2,,person<--->person,"#000000"
30,142,Undirected,1968,person-person,2,,person<--->person,"#000000"
30,161,Undirected,1969,person-person,2,,person<--->person,"#000000"
30,176,Undirected,1970,person-person,2,,person<--->person,"#000000"
30,309,Undirected,1971,person-person,3,,person<--->person,"#000000"
30,321,Undirected,1972,person-person,2,,person<--->person,"#000000"
30,350,Undirected,1973,person-person,2,,person<--->person,"#000000"
30,351,Undirected,1974,person-person,2,,person<--->person,"#000000"
6,80,Undirected,1886,person-person,1,,person<--->person,"#000000"
6,76,Undirected,1885,person-person,1,,person<--->person,"#000000"
6,74,Undirected,1884,person-person,1,,person<--->person,"#000000"
