Source,Target,Type,Id,Label,Weight,event_id,MMNT-EdgeType,Color
20012,20039,Undirected,3195,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20054,Undirected,3196,workshop-workshop,2,,workshop<--->workshop,"#000000"
20012,20059,Undirected,3197,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20065,Undirected,3198,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20070,Undirected,3199,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20084,Undirected,3200,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20089,Undirected,3201,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20092,Undirected,3202,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20103,Undirected,3203,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20108,Undirected,3204,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20110,Undirected,3205,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20117,Undirected,3206,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20119,Undirected,3207,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20121,Undirected,3208,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20125,Undirected,3209,workshop-workshop,2,,workshop<--->workshop,"#000000"
20012,20129,Undirected,3210,workshop-workshop,2,,workshop<--->workshop,"#000000"
20012,20132,Undirected,3211,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20135,Undirected,3212,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20140,Undirected,3213,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20144,Undirected,3214,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20146,Undirected,3215,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20151,Undirected,3216,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20154,Undirected,3217,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20156,Undirected,3218,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20157,Undirected,3219,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20162,Undirected,3220,workshop-workshop,2,,workshop<--->workshop,"#000000"
20012,20164,Undirected,3221,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20165,Undirected,3222,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20176,Undirected,3223,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20181,Undirected,3224,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20184,Undirected,3225,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20192,Undirected,3226,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20194,Undirected,3227,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20216,Undirected,3228,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20217,Undirected,3229,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20222,Undirected,3230,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20231,Undirected,3231,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20236,Undirected,3232,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20238,Undirected,3233,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20242,Undirected,3234,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20246,Undirected,3235,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20249,Undirected,3236,workshop-workshop,1,,workshop<--->workshop,"#000000"
20012,20259,Undirected,3237,workshop-workshop,1,,workshop<--->workshop,"#000000"
20013,20016,Undirected,3238,workshop-workshop,1,,workshop<--->workshop,"#000000"
20013,20058,Undirected,3239,workshop-workshop,1,,workshop<--->workshop,"#000000"
20013,20066,Undirected,3240,workshop-workshop,1,,workshop<--->workshop,"#000000"
20013,20085,Undirected,3241,workshop-workshop,1,,workshop<--->workshop,"#000000"
20013,20107,Undirected,3242,workshop-workshop,1,,workshop<--->workshop,"#000000"
20013,20108,Undirected,3243,workshop-workshop,1,,workshop<--->workshop,"#000000"
