Id,Label,name,attribute,event_id,meta_category,[z],modularity_class,X,Y,Size,Color
20244,,Gehirnforschung und Heilung,workshop,8,0,1,4,-126.608238,-82.771271,10,"#4c463e"
20245,,Ethnologie and Tradition,workshop,8,0,1,4,-257.055054,22.693712,10,"#4c463e"
20246,,Malen und Zeichnen,workshop,8,0,1,2,-254.482361,-305.219727,10,"#73c000"
20247,,Bilderausstellung,workshop,8,0,1,2,-485.827515,-464.866608,10,"#73c000"
20248,,"Atem, Körper und Bewusstsein",workshop,8,0,1,1,-339.821259,-109.425934,10,"#df89ff"
20249,,Why science is the best way,workshop,8,0,1,5,111.080078,-155.137589,10,"#00bd94"
20250,,Drumming as Self-Experie11ce and Communication.,workshop,8,0,1,3,-292.208405,-318.975616,10,"#00c4ff"
20251,,Wie bin ich gestimmt? Erfahru11ge11 mit Stimme und Körper,workshop,8,0,1,1,-420.371826,-217.891327,10,"#df89ff"
20252,,Masken,workshop,8,0,1,2,-440.589569,-337.307098,10,"#73c000"
20253,,"Heilklänge, Klangvisionen",workshop,8,0,1,1,-276.158539,-133.278107,10,"#df89ff"
20254,,"Ritter ohne Rüstung, oder: wie Parzival lesen und schreiben lernte.",workshop,8,0,1,2,-131.119278,-437.806641,10,"#73c000"
20255,,Ist ein Weg in Raum und Zeit wiederholbar und umkehrbar?- Betrachtungen aus pyhsikalisch-chemischer und molekularer Sicht,workshop,8,0,1,4,70.358887,-5.594445,10,"#4c463e"
20256,,Orgelkonzert in Assisi mit Werken von ]oh. Seb. Bach,workshop,8,0,1,3,-325.868683,-264.605286,10,"#00c4ff"
20257,,"Der Weg der Individuation - dargestellt an Mozarts Oper ""Die Zauberflöte 11",workshop,8,0,1,3,-182.505905,-388.511627,10,"#00c4ff"
20258,,Einführung in das therapeutische Imaginieren und Malen,workshop,8,0,1,2,-462.897522,-371.555176,10,"#73c000"
20259,,The Path of Chaos,workshop,8,0,1,4,-158.979019,-91.553322,10,"#4c463e"
20260,,Psychodrama,workshop,8,0,1,1,-420.86911,-255.703171,10,"#df89ff"
20261,,Eine Reise durch das Land der Schwiugmzgeu,workshop,8,0,1,3,-265.010101,-404.66925,10,"#00c4ff"
20262,,The selfish robot and the origins of intelligence,workshop,8,0,1,4,-23.871672,-34.403175,10,"#4c463e"
20263,,Die Homöopathie als Ausdruck des Integralen Bewusstseins,workshop,8,0,1,5,-188.521896,-6.056296,10,"#00bd94"
20264,,Selbstbewusstsein und Präsenz im persö11liche11 Ausdruck,workshop,8,0,1,1,-394.654114,-96.495132,10,"#df89ff"
20265,,Morgensingen,workshop,8,0,1,3,-192.139282,-428.166229,10,"#00c4ff"
